Source,File,Metric,Avg,Min,Med,Max,P90,P95,Value,Rate,Percentage,Count,Total
Azure Without Content,Soak,http_req_blocked,16.03µs,0s,0s,238.7ms,0s,0s,,,,,
Azure Without Content,Soak,http_req_connecting,983ns,0s,0s,56.32ms,0s,0s,,,,,
Azure Without Content,Soak,http_req_duration,39.44ms,213.4µs,20.74ms,3.55s,76.42ms,144.17ms,,,,,
Azure Without Content,Soak,http_req_failed,,,,,,,,,0.00%,0,6890274
Azure Without Content,Soak,http_req_receiving,1.1ms,0s,424.9µs,990.25ms,3.17ms,4.32ms,,,,,
Azure Without Content,Soak,http_req_sending,29.76µs,0s,0s,24.19ms,0s,135.69µs,,,,,
Azure Without Content,Soak,http_req_tls_handshaking,1.41µs,0s,0s,221.44ms,0s,0s,,,,,
Azure Without Content,Soak,http_req_waiting,38.3ms,213.4µs,19.61ms,3.54s,74.74ms,142.39ms,,,,,
Azure Without Content,Soak,http_reqs,,,,,,,6890274,358.862695/s,,,
Azure Without Content,Soak,iteration_duration,1.07s,1.01s,1.04s,4.56s,1.16s,1.23s,,,,,
Azure Without Content,Soak,iterations,,,,,,,3445137,179.431347/s,,,
Azure Without Content,Soak,vus,,1,,200,,,1,,,,
Azure Without Content,Soak,vus_max,,200,,200,,,200,,,,
Azure Without Content,Spike,data_received,,,,,,,758 MB,,,,
Azure Without Content,Spike,data_sent,,,,,,,18 MB,,,,
Azure Without Content,Spike,http_req_blocked,352.64µs,0s,0s,364.05ms,0s,0s,,,,,
Azure Without Content,Spike,http_req_connecting,154.09µs,0s,0s,106.32ms,0s,0s,,,,,
Azure Without Content,Spike,http_req_duration,331.83ms,0s,18.69ms,2.86s,1.08s,1.27s,,,,,
Azure Without Content,Spike,http_req_failed,,,,,,,,,0.00%,0,147686
Azure Without Content,Spike,http_req_receiving,861.47µs,0s,415µs,300.39ms,2.03ms,3.02ms,,,,,
Azure Without Content,Spike,http_req_sending,34.67µs,0s,0s,13.72ms,56.05µs,192.8µs,,,,,
Azure Without Content,Spike,http_req_tls_handshaking,184.09µs,0s,0s,347.8ms,0s,0s,,,,,
Azure Without Content,Spike,http_req_waiting,330.94ms,0s,17.79ms,2.85s,1.08s,1.27s,,,,,
Azure Without Content,Spike,http_reqs,,,,,,,147686,460.05597/s,,,
Azure Without Content,Spike,iteration_duration,1.66s,1.01s,1.54s,3.87s,2.28s,2.44s,,,,,
Azure Without Content,Spike,iterations,,,,,,,73843,230.027985/s,,,
Azure Without Content,Spike,vus,,1,,500,,,1,,,,
Azure Without Content,Spike,vus_max,,500,,500,,,500,,,,
Azure Without Content,Stress,data_received,,,,,,,6.4 GB,,,,
Azure Without Content,Stress,data_sent,,,,,,,146 MB,,,,
Azure Without Content,Stress,http_req_blocked,60.42µs,0s,0s,2.24s,0s,0s,,,,,
Azure Without Content,Stress,http_req_connecting,19.96µs,0s,0s,2.24s,0s,0s,,,,,
Azure Without Content,Stress,http_req_duration,183.55ms,325µs,23.18ms,6.06s,639.91ms,965.71ms,,,,,
Azure Without Content,Stress,http_req_failed,,,,,,,,,0.00%,0,1248200
Azure Without Content,Stress,http_req_receiving,1.35ms,0s,421.2µs,3.63s,3.75ms,5.17ms,,,,,
Azure Without Content,Stress,http_req_sending,34.02µs,0s,0s,15.06ms,0s,154.7µs,,,,,
Azure Without Content,Stress,http_req_tls_handshaking,23.67µs,0s,0s,300.85ms,0s,0s,,,,,
Azure Without Content,Stress,http_req_waiting,182.16ms,121.6µs,21.73ms,6.06s,638.04ms,963.84ms,,,,,
Azure Without Content,Stress,http_reqs,,,,,,,1248200,320.022242/s,,,
Azure Without Content,Stress,iteration_duration,1.36s,1.02s,1.16s,7.09s,1.98s,2.26s,,,,,
Azure Without Content,Stress,iterations,,,,,,,624100,160.011121/s,,,
Azure Without Content,Stress,vus,,1,,500,,,1,,,,
Azure Without Content,Stress,vus_max,,500,,500,,,500,,,,
Cloud With Content,Baseline,data_received,,,,,,,13 MB,,,,
Cloud With Content,Baseline,data_sent,,,,,,,48 kB,,,,
Cloud With Content,Baseline,http_req_blocked,1.42ms,0s,0s,112.62ms,0s,0s,,,,,
Cloud With Content,Baseline,http_req_connecting,408.65µs,0s,0s,17.17ms,0s,0s,,,,,
Cloud With Content,Baseline,http_req_duration,106.61ms,69.44ms,102.59ms,355.64ms,130.55ms,147.81ms,,,,,
Cloud With Content,Baseline,http_req_failed,,,,,,,,,0.00%,0,331
Cloud With Content,Baseline,http_req_receiving,6.67ms,0s,5.84ms,31.6ms,13.63ms,15.74ms,,,,,
Cloud With Content,Baseline,http_req_sending,331.18µs,0s,315.09µs,1.93ms,645µs,682.65µs,,,,,
Cloud With Content,Baseline,http_req_tls_handshaking,941.27µs,0s,0s,77.49ms,0s,0s,,,,,
Cloud With Content,Baseline,http_req_waiting,99.61ms,57.11ms,95.72ms,346.47ms,125.82ms,140.57ms,,,,,
Cloud With Content,Baseline,http_reqs,,,,,,,331,2.734448/s,,,
